date,totalLiquidityUSD
2023-09-30 00:00:00,2101761752
2023-10-01 00:00:00,2105961743
2023-10-02 00:00:00,2147489933
2023-10-03 00:00:00,2124093551
2023-10-04 00:00:00,2087475806
2023-10-05 00:00:00,2089979833
2023-10-06 00:00:00,2055369824
2023-10-07 00:00:00,2091119012
2023-10-08 00:00:00,2080339322
2023-10-09 00:00:00,2011922056
2023-10-10 00:00:00,2008432137
2023-10-11 00:00:00,1996081961
2023-10-12 00:00:00,1984739263
2023-10-13 00:00:00,1960851030
2023-10-14 00:00:00,1972448060
2023-10-15 00:00:00,1979211520
2023-10-16 00:00:00,1973154985
2023-10-17 00:00:00,2001021481
2023-10-18 00:00:00,1971780383
2023-10-19 00:00:00,1962391750
2023-10-20 00:00:00,1961154795
2023-10-21 00:00:00,1974987632
2023-10-22 00:00:00,2022027287
2023-10-23 00:00:00,2072140888
2023-10-24 00:00:00,2146994909
2023-10-25 00:00:00,2137746960
2023-10-26 00:00:00,2141501513
2023-10-27 00:00:00,2139655932
2023-10-28 00:00:00,2138529019
2023-10-29 00:00:00,2135249574
2023-10-30 00:00:00,2152045443
2023-10-31 00:00:00,2218624963
2023-11-01 00:00:00,2118749673
2023-11-02 00:00:00,2150377073
2023-11-03 00:00:00,2086625826
2023-11-04 00:00:00,2147123586
2023-11-05 00:00:00,2158699569
2023-11-06 00:00:00,2158740284
2023-11-07 00:00:00,2148431901
2023-11-08 00:00:00,2174695555
2023-11-09 00:00:00,2187612468
2023-11-10 00:00:00,2284003999
2023-11-11 00:00:00,2284500653
2023-11-12 00:00:00,2265045819
2023-11-13 00:00:00,2288967490
2023-11-14 00:00:00,2268542343
2023-11-15 00:00:00,2255283422
2023-11-16 00:00:00,2325336446
2023-11-17 00:00:00,2275377279
2023-11-18 00:00:00,2238202498
2023-11-19 00:00:00,2228683485
2023-11-20 00:00:00,2303508901
2023-11-21 00:00:00,2298379172
2023-11-22 00:00:00,2204972153
2023-11-23 00:00:00,2377049761
2023-11-25 00:00:00,2370608036
2023-11-26 00:00:00,2361186381
2023-11-27 00:00:00,2351213112
2023-11-28 00:00:00,2328931134
2023-11-29 00:00:00,2319126863
2023-11-30 00:00:00,2309691727
2023-12-01 00:00:00,2360000407
2023-12-02 00:00:00,2386744469
2023-12-03 00:00:00,2420460542
2023-12-04 00:00:00,2393366866
2023-12-05 00:00:00,2402320250
2023-12-06 00:00:00,2429257073
2023-12-07 00:00:00,2372559816
2023-12-08 00:00:00,2437988498
2023-12-09 00:00:00,2464851815
2023-12-10 00:00:00,2434098196
2023-12-11 00:00:00,2361970254
2023-12-12 00:00:00,2381066586
2023-12-13 00:00:00,2361355670
2023-12-14 00:00:00,2411357833
2023-12-15 00:00:00,2410583096
2023-12-16 00:00:00,2401048699
2023-12-17 00:00:00,2391789793
2023-12-18 00:00:00,2320470332
2023-12-19 00:00:00,2378267114
2023-12-20 00:00:00,2352680790
2023-12-21 00:00:00,2592258401
2023-12-22 00:00:00,2384950278
2023-12-23 00:00:00,2411846221
2023-12-24 00:00:00,2415088963
2023-12-25 00:00:00,2418893803
2023-12-26 00:00:00,2394407605
2023-12-27 00:00:00,2403929411
2023-12-28 00:00:00,2509872379
2023-12-29 00:00:00,2466681380
2023-12-30 00:00:00,2441348411
2023-12-31 00:00:00,2444570123
2024-01-01 00:00:00,2427630543
2024-01-02 00:00:00,2492000902
2024-01-03 00:00:00,2501050791
2024-01-04 00:00:00,2400662444
2024-01-05 00:00:00,2470245053
2024-01-06 00:00:00,2446342380
2024-01-07 00:00:00,2444058479
2024-01-08 00:00:00,2394991608
2024-01-09 00:00:00,2488964324
2024-01-10 00:00:00,2539978333
2024-01-11 00:00:00,2628807661
2024-01-12 00:00:00,2638118709
2024-01-13 00:00:00,2572945994
2024-01-14 00:00:00,2614887389
2024-01-15 00:00:00,2603114778
2024-01-16 00:00:00,2609610976
2024-01-17 00:00:00,2648105320
2024-01-18 00:00:00,2607221873
2024-01-19 00:00:00,2551066454
2024-01-20 00:00:00,2591284496
2024-01-21 00:00:00,2587426205
2024-01-22 00:00:00,2604332601
2024-01-23 00:00:00,2503507700
2024-01-24 00:00:00,2458024565
2024-01-25 00:00:00,2469670184
2024-01-26 00:00:00,2457315653
2024-01-27 00:00:00,2509699048
2024-01-28 00:00:00,2450077990
2024-01-29 00:00:00,2455063192
2024-01-30 00:00:00,2491650363
2024-01-31 00:00:00,2501356167
2024-02-01 00:00:00,2430907969
2024-02-02 00:00:00,2476202083
2024-02-03 00:00:00,2467022547
2024-02-04 00:00:00,2464195937
2024-02-05 00:00:00,2460193689
2024-02-06 00:00:00,2509327375
2024-02-07 00:00:00,2562132117
2024-02-08 00:00:00,2607489145
2024-02-09 00:00:00,2611094429
2024-02-10 00:00:00,2647578298
2024-02-11 00:00:00,2655377931
2024-02-12 00:00:00,2649855789
2024-02-13 00:00:00,2752921010
2024-02-14 00:00:00,2690229322
2024-02-15 00:00:00,2779379454
2024-02-16 00:00:00,2781067296
2024-02-17 00:00:00,2759247007
2024-02-18 00:00:00,2758030547
2024-02-19 00:00:00,2835412867
2024-02-20 00:00:00,2857615644
2024-02-21 00:00:00,2940948314
2024-02-22 00:00:00,2922293525
2024-02-23 00:00:00,2960992568
2024-02-24 00:00:00,2930416060
2024-02-25 00:00:00,2977708652
2024-02-26 00:00:00,3047233910
2024-02-27 00:00:00,3047911389
2024-02-28 00:00:00,3027894107
2024-02-29 00:00:00,3075279995
2024-03-01 00:00:00,3060312588
2024-03-02 00:00:00,3240775385
2024-03-03 00:00:00,3276159013
2024-03-04 00:00:00,3343227564
2024-03-05 00:00:00,3367550312
2024-03-06 00:00:00,3243920489
2024-03-07 00:00:00,3347381860
2024-03-08 00:00:00,3343331658
2024-03-09 00:00:00,3347908935
2024-03-10 00:00:00,3370710779
2024-03-11 00:00:00,3351391731
2024-03-12 00:00:00,3467009081
2024-03-13 00:00:00,3410226793
2024-03-14 00:00:00,3434333631
2024-03-15 00:00:00,3380767718
2024-03-16 00:00:00,3268138070
2024-03-17 00:00:00,3133037614
2024-03-18 00:00:00,3218103141
2024-03-19 00:00:00,3135451704
2024-03-20 00:00:00,2966769751
2024-03-21 00:00:00,3251394783
2024-03-25 00:00:00,3423167121
2024-03-26 00:00:00,3498857917
2024-03-27 00:00:00,3508450825
2024-03-28 00:00:00,3479318665
2024-03-29 00:00:00,3478846758
2024-03-30 00:00:00,3452961846
2024-03-31 00:00:00,3517633823
2024-04-01 00:00:00,3454365144
2024-04-02 00:00:00,3337846670
2024-04-03 00:00:00,3368862471
2024-04-04 00:00:00,3389531117
2024-04-05 00:00:00,3388736647
2024-04-06 00:00:00,3377335356
2024-04-07 00:00:00,3388930764
2024-04-08 00:00:00,3487949070
2024-04-09 00:00:00,3726585161
2024-04-10 00:00:00,3578642261
2024-04-11 00:00:00,3602171911
2024-04-12 00:00:00,4492534660
2024-04-13 00:00:00,3285528859
2024-04-14 00:00:00,2977768276
2024-04-15 00:00:00,3336053459
2024-04-16 00:00:00,3209465253
2024-04-17 00:00:00,3198609161
2024-04-18 00:00:00,3176809000
2024-04-19 00:00:00,3212095885
2024-04-20 00:00:00,3257836389
2024-04-21 00:00:00,3364072296
2024-04-22 00:00:00,3372856092
2024-04-23 00:00:00,3408748824
2024-04-24 00:00:00,3386504225
2024-04-25 00:00:00,3305142458
2024-04-26 00:00:00,3351241398
2024-04-27 00:00:00,3289781472
2024-04-28 00:00:00,3345526673
2024-04-29 00:00:00,3407501331
2024-04-30 00:00:00,3304162063
2024-05-01 00:00:00,3174804610
2024-05-02 00:00:00,3082404051
2024-05-03 00:00:00,3143077619
2024-05-04 00:00:00,3291705176
2024-05-05 00:00:00,3302404230
2024-05-06 00:00:00,3300358766
2024-05-07 00:00:00,3280192274
2024-05-08 00:00:00,3263341902
2024-05-09 00:00:00,3180681714
2024-05-10 00:00:00,3225005522
2024-05-11 00:00:00,3229344773
2024-05-12 00:00:00,3235060185
2024-05-13 00:00:00,3230385413
2024-05-14 00:00:00,3220496527
2024-05-15 00:00:00,3139929104
2024-05-16 00:00:00,3258000618
2024-05-17 00:00:00,3194023820
2024-05-18 00:00:00,3336105258
2024-05-19 00:00:00,3355420911
2024-05-20 00:00:00,3306772035
2024-05-21 00:00:00,3668955146
2024-05-22 00:00:00,3679818744
2024-05-23 00:00:00,3656585417
2024-05-24 00:00:00,3689963285
2024-05-25 00:00:00,3681607849
2024-05-26 00:00:00,3685136826
2024-05-27 00:00:00,3618975500
2024-05-28 00:00:00,3691265134
2024-05-29 00:00:00,3650947643
2024-05-30 00:00:00,3632032191
2024-05-31 00:00:00,3609383746
2024-06-01 00:00:00,3534475540
2024-06-02 00:00:00,3542295766
2024-06-03 00:00:00,3500499429
2024-06-04 00:00:00,3516029723
